# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Dieren
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Schoonmaakbenodigdheden voor aquariums > Handschoenen voor aquariums
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Schoonmaakbenodigdheden voor aquariums > Schoonmaakborstels
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Schoonmaakbenodigdheden voor aquariums > Schoonmaakoplossingen
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Schoonmaakbenodigdheden voor aquariums > Kiezelzuigers
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Schoonmaakbenodigdheden voor aquariums > Schrobpads
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Schoonmaakbenodigdheden voor aquariums > Sifons
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Schoonmaakbenodigdheden voor aquariums > Schoonmaakmiddelen voor tanks
gid://shopify/TaxonomyCategory/ap-2-4-4          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Decoraties voor aquariums
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Decoraties voor aquariums > Achtergronden voor aquariums
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Decoraties voor aquariums > Grotten en schuilplaatsen voor aquariums
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Decoraties voor aquariums > Stenen voor aquariums
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Decoraties voor aquariums > Voedingsbodem voor aquariums
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Decoraties voor aquariums > Kunstplanten
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Decoraties voor aquariums > Bubbelende decoraties
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Decoraties voor aquariums > Drijfhout
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Decoraties voor aquariums > Ornamenten
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Decoraties voor aquariums > Scheepswrakken
gid://shopify/TaxonomyCategory/ap-2-4-5          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Aquariumfilters
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Aquariumfilters > Externe en canister-aquariumfilters
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Aquariumfilters > Hang-on-back (HOB) aquariumfilters
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Aquariumfilters > Interne aquariumfilters
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Aquariumfilters > Sponsaquariumfilters
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Aquariumfilters > Ondergrondse aquariumfilters
gid://shopify/TaxonomyCategory/ap-2-4-6          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Visnetten voor aquariums
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Visnetten voor aquariums > Schepnetten
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Visnetten voor aquariums > Garnaalnetten
