# Shopify Product Taxonomy - Categories: 2025-05-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Животные и товары для питомцев
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Трубки и шланги для аквариумов и прудов > Шланги для подачи воздуха
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Трубки и шланги для аквариумов и прудов > Шланги в бухтах
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Трубки и шланги для аквариумов и прудов > Гибкие шланги
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Трубки и шланги для аквариумов и прудов > Жесткие трубки
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Трубки и шланги для аквариумов и прудов > Стандартные трубки
gid://shopify/TaxonomyCategory/ap-2-4-2          : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Распылители-камни и диффузоры для аквариума
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Распылители-камни и диффузоры для аквариума > Диффузоры
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Распылители-камни и диффузоры для аквариума > Распылители-камни в форме диска
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Распылители-камни и диффузоры для аквариума > Стандартные распылители-камни
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Распылители-камни и диффузоры для аквариума > Распылители-камни в форме трубки
