# Shopify Product Taxonomy - Categories: 2024-10-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Tiere & Tierbedarf
gid://shopify/TaxonomyCategory/ap-2-4-6          : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Fischnetze für Aquarien
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Fischnetze für Aquarien > Schöpfkescher
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Fischnetze für Aquarien > Garnelenkescher
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Fischnetze für Aquarien > Sockennetze
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Fischnetze für Aquarien > Standard-Kescher
gid://shopify/TaxonomyCategory/ap-2-4-7          : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Bodengrund für Aquarien
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Bodengrund für Aquarien > Aquariumboden
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Bodengrund für Aquarien > Aragonitsande
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Bodengrund für Aquarien > Zerkleinerte Korallen
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Bodengrund für Aquarien > Glassteine
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Bodengrund für Aquarien > Kies
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Bodengrund für Aquarien > Kieselsteine
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Bodengrund für Aquarien > Sand
gid://shopify/TaxonomyCategory/ap-2-4-8          : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumbeleuchtung
gid://shopify/TaxonomyCategory/ap-2-4-9          : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Überlaufkästen
gid://shopify/TaxonomyCategory/ap-2-4-10         : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumständer
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumständer > Kastenrahmenpodeste
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumständer > Schrankpodeste
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumständer > Doppeltankpodeste
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumständer > Schmiedeeiserne Podeste
gid://shopify/TaxonomyCategory/ap-2-4-11         : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Temperaturregler für Aquarien
