# Shopify Product Taxonomy: 0.3.0
gid://shopify/Taxonomy/Category/aa              : Apparel & Accessories
gid://shopify/Taxonomy/Category/aa-1-5-2-3      : Apparel & Accessories > Clothing > Girls' Underwear > Girls' Underpants > Boyshorts
gid://shopify/Taxonomy/Category/aa-1-5-2-4      : Apparel & Accessories > Clothing > Girls' Underwear > Girls' Underpants > Briefs
gid://shopify/Taxonomy/Category/aa-1-5-2-5      : Apparel & Accessories > Clothing > Girls' Underwear > Girls' Underpants > Hipsters
gid://shopify/Taxonomy/Category/aa-1-5-2-6      : Apparel & Accessories > Clothing > Girls' Underwear > Girls' Underpants > Panties
gid://shopify/Taxonomy/Category/aa-1-5-2-7      : Apparel & Accessories > Clothing > Girls' Underwear > Girls' Underpants > Period Underwear
gid://shopify/Taxonomy/Category/aa-1-5-2-8      : Apparel & Accessories > Clothing > Girls' Underwear > Girls' Underpants > Thongs
gid://shopify/Taxonomy/Category/aa-1-5-3        : Apparel & Accessories > Clothing > Girls' Underwear > Girls' Undershirts
gid://shopify/Taxonomy/Category/aa-1-6          : Apparel & Accessories > Clothing > Lingerie
gid://shopify/Taxonomy/Category/aa-1-6-1        : Apparel & Accessories > Clothing > Lingerie > Bodysuits
gid://shopify/Taxonomy/Category/aa-1-6-2        : Apparel & Accessories > Clothing > Lingerie > Bra Accessories
gid://shopify/Taxonomy/Category/aa-1-6-2-1      : Apparel & Accessories > Clothing > Lingerie > Bra Accessories > Bra Strap Pads
gid://shopify/Taxonomy/Category/aa-1-6-2-2      : Apparel & Accessories > Clothing > Lingerie > Bra Accessories > Bra Straps & Extenders
gid://shopify/Taxonomy/Category/aa-1-6-2-3      : Apparel & Accessories > Clothing > Lingerie > Bra Accessories > Breast Enhancing Inserts
gid://shopify/Taxonomy/Category/aa-1-6-2-4      : Apparel & Accessories > Clothing > Lingerie > Bra Accessories > Breast Petals & Concealers
gid://shopify/Taxonomy/Category/aa-1-6-3        : Apparel & Accessories > Clothing > Lingerie > Bras
gid://shopify/Taxonomy/Category/aa-1-6-4        : Apparel & Accessories > Clothing > Lingerie > Camisoles
gid://shopify/Taxonomy/Category/aa-1-6-6        : Apparel & Accessories > Clothing > Lingerie > Hosiery
gid://shopify/Taxonomy/Category/aa-1-6-7        : Apparel & Accessories > Clothing > Lingerie > Jock Straps
gid://shopify/Taxonomy/Category/aa-1-6-8        : Apparel & Accessories > Clothing > Lingerie > Lingerie Accessories
gid://shopify/Taxonomy/Category/aa-1-6-8-1      : Apparel & Accessories > Clothing > Lingerie > Lingerie Accessories > Garter Belts
gid://shopify/Taxonomy/Category/aa-1-6-8-2      : Apparel & Accessories > Clothing > Lingerie > Lingerie Accessories > Garters
gid://shopify/Taxonomy/Category/aa-1-6-8-3      : Apparel & Accessories > Clothing > Lingerie > Lingerie Accessories > Pantyhose
gid://shopify/Taxonomy/Category/aa-1-6-9        : Apparel & Accessories > Clothing > Lingerie > Petticoats & Pettipants
gid://shopify/Taxonomy/Category/aa-1-6-10       : Apparel & Accessories > Clothing > Lingerie > Shapewear
gid://shopify/Taxonomy/Category/aa-1-6-10-1     : Apparel & Accessories > Clothing > Lingerie > Shapewear > Bodysuits
gid://shopify/Taxonomy/Category/aa-1-6-10-2     : Apparel & Accessories > Clothing > Lingerie > Shapewear > Full Body Shapes
gid://shopify/Taxonomy/Category/aa-1-6-10-3     : Apparel & Accessories > Clothing > Lingerie > Shapewear > High Waisted Briefs
gid://shopify/Taxonomy/Category/aa-1-6-10-4     : Apparel & Accessories > Clothing > Lingerie > Shapewear > Thigh Slimmers
gid://shopify/Taxonomy/Category/aa-1-6-10-5     : Apparel & Accessories > Clothing > Lingerie > Shapewear > Waist Cinchers
gid://shopify/Taxonomy/Category/aa-1-6-11       : Apparel & Accessories > Clothing > Lingerie > Women's Underpants
gid://shopify/Taxonomy/Category/aa-1-6-11-1     : Apparel & Accessories > Clothing > Lingerie > Women's Underpants > Bikinis
gid://shopify/Taxonomy/Category/aa-1-6-11-2     : Apparel & Accessories > Clothing > Lingerie > Women's Underpants > Boyshorts
gid://shopify/Taxonomy/Category/aa-1-6-11-3     : Apparel & Accessories > Clothing > Lingerie > Women's Underpants > Briefs
gid://shopify/Taxonomy/Category/aa-1-6-11-4     : Apparel & Accessories > Clothing > Lingerie > Women's Underpants > G-Strings
gid://shopify/Taxonomy/Category/aa-1-6-11-5     : Apparel & Accessories > Clothing > Lingerie > Women's Underpants > Period Underwear
gid://shopify/Taxonomy/Category/aa-1-6-11-6     : Apparel & Accessories > Clothing > Lingerie > Women's Underpants > Thongs
gid://shopify/Taxonomy/Category/aa-1-6-12       : Apparel & Accessories > Clothing > Lingerie > Women's Undershirts
gid://shopify/Taxonomy/Category/aa-1-6-13       : Apparel & Accessories > Clothing > Lingerie > Women's Underwear Slips
gid://shopify/Taxonomy/Category/aa-1-7          : Apparel & Accessories > Clothing > Maternity Clothing
gid://shopify/Taxonomy/Category/aa-1-7-2        : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Dresses
gid://shopify/Taxonomy/Category/aa-1-7-3        : Apparel & Accessories > Clothing > Maternity Clothing > Maternity One-Pieces
gid://shopify/Taxonomy/Category/aa-1-7-4        : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Pants
gid://shopify/Taxonomy/Category/aa-1-7-4-2      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Pants > Cargos
gid://shopify/Taxonomy/Category/aa-1-7-4-3      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Pants > Chinos
gid://shopify/Taxonomy/Category/aa-1-7-4-4      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Pants > Jeans
gid://shopify/Taxonomy/Category/aa-1-7-4-5      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Pants > Jeggings
gid://shopify/Taxonomy/Category/aa-1-7-4-7      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Pants > Joggers
gid://shopify/Taxonomy/Category/aa-1-7-4-8      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Pants > Leggings
gid://shopify/Taxonomy/Category/aa-1-7-4-11     : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Pants > Skorts
gid://shopify/Taxonomy/Category/aa-1-7-4-12     : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Pants > Trousers
gid://shopify/Taxonomy/Category/aa-1-7-5        : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Skirts
