# Shopify Product Taxonomy - Mappings: 0.18.0
# Format:
# product_category_id: {input_product_category_id}, full_name: {full_name} => product_category_id: {output_product_category_id}, full_name: {full_name}

product_category_id: gid://shopify/TaxonomyCategory/90, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-27, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/91, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-28, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/92, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-29, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/93, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-30, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/94, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-31, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/95, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-32, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/96, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-33, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/97, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-34, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/98, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-35, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/99, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-36, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/100, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-18-6, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/101, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-49, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/102, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-39, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/103, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-40, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/104, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-41, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/105, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-41-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/106, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-41-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/107, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-41-3, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/108, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-41-4, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/109, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-42, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/110, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-43, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/111, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-44, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/112, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-45, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/113, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-46, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/114, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-46-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/115, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-46-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/116, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-46-3, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/117, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-46-4, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/118, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-46-5, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/119, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-47, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/120, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-47-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/121, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-47-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/122, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-47-3, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/123, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-47-4, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/124, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-47-5, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/125, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-48, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/126, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/127, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/128, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/129, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/130, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/131, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/132, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1, full_name: TBD
