# Shopify Product Taxonomy - Categories: 2025-11-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Gyvūnai ir prekės naminiams gyvūnams
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Šunidės ir aikštelės šunims > Aptvarai šunims
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Šunidės ir aikštelės šunims > Aikštelės šunims
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Šunidės ir aikštelės šunims > Patalpų šunidės
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Šunidės ir aikštelės šunims > Lauko šunidės
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Šunidės ir aikštelės šunims > Nešiojamos šunidės
gid://shopify/TaxonomyCategory/ap-2-3-7          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Žaislai šunims
gid://shopify/TaxonomyCategory/ap-2-3-8          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Bėgimo takeliai šunims
gid://shopify/TaxonomyCategory/ap-2-3-9          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Skanėstai šunims
gid://shopify/TaxonomyCategory/ap-2-4            : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams
gid://shopify/TaxonomyCategory/ap-2-4-1          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų ir tvenkinių vamzdžiai
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų ir tvenkinių vamzdžiai > Oro vamzdeliai
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų ir tvenkinių vamzdžiai > Spiralės
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų ir tvenkinių vamzdžiai > Lankstūs vamzdeliai
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų ir tvenkinių vamzdžiai > Standūs vamzdeliai
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų ir tvenkinių vamzdžiai > Standartiniai vamzdeliai
gid://shopify/TaxonomyCategory/ap-2-4-2          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų „oro akmenys“ ir difuzoriai
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų „oro akmenys“ ir difuzoriai > Oro difuzoriai
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų „oro akmenys“ ir difuzoriai > Diskiniai „oro akmenys“
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų „oro akmenys“ ir difuzoriai > Standartiniai „oro akmenys“
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų „oro akmenys“ ir difuzoriai > Vamzdiniai „oro akmenys“
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų „oro akmenys“ ir difuzoriai > Sieniniai „oro akmenys“
gid://shopify/TaxonomyCategory/ap-2-4-3          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų valymo reikmenys
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų valymo reikmenys > Dumblių grandikliai
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų valymo reikmenys > Akvariuminės pirštinės
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų valymo reikmenys > Valymo šepečiai
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų valymo reikmenys > Valymo tirpalai
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų valymo reikmenys > Žvirgždo siurbliai
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų valymo reikmenys > Šveitimo pagalvėlės
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų valymo reikmenys > Sifonai
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų valymo reikmenys > Akvariumų valikliai
gid://shopify/TaxonomyCategory/ap-2-4-4          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų papuošimai
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų papuošimai > Akvariumų fonai
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų papuošimai > Akvariumų urvai ir slėptuvės
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų papuošimai > Akvariumų akmenys
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų papuošimai > Akvariumų substratai
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų papuošimai > Dirbtiniai augalai
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų papuošimai > Burbulus leidžiantys papuošimai
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų papuošimai > Plūduriuojanti mediena
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų papuošimai > Ornamentai
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų papuošimai > Laivų nuolaužos
gid://shopify/TaxonomyCategory/ap-2-4-5          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų filtrai
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų filtrai > Išoriniai ir kanistriniai akvariumų filtrai
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų filtrai > Pakabinami (HOB) akvariumų filtrai
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų filtrai > Vidiniai akvariumų filtrai
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų filtrai > Kempininiai akvariumų filtrai
