# Shopify Product Taxonomy - Categories: 0.18.0
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Animaux et articles pour animaux de compagnie
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Tuyaux pour bassin et aquariums > Tubes flexibles
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Tuyaux pour bassin et aquariums > Tubes rigides
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Tuyaux pour bassin et aquariums > Tubes standards
gid://shopify/TaxonomyCategory/ap-2-4-2          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Diffuseurs et pierres à air pour aquariums
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Diffuseurs et pierres à air pour aquariums > Diffuseurs d'air
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Diffuseurs et pierres à air pour aquariums > Pierres à air en disque
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Diffuseurs et pierres à air pour aquariums > Pierres à air standard
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Diffuseurs et pierres à air pour aquariums > Pierres à air tubulaires
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Diffuseurs et pierres à air pour aquariums > Pierres à air murales
gid://shopify/TaxonomyCategory/ap-2-4-3          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Accessoires de nettoyage pour aquarium
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Accessoires de nettoyage pour aquarium > Grattoirs à algues
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Accessoires de nettoyage pour aquarium > Gants d'aquarium
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Accessoires de nettoyage pour aquarium > Brosses de nettoyage
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Accessoires de nettoyage pour aquarium > Solutions de nettoyage
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Accessoires de nettoyage pour aquarium > Aspirateurs à gravier
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Accessoires de nettoyage pour aquarium > Compresses à récurer
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Accessoires de nettoyage pour aquarium > Siphons
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Accessoires de nettoyage pour aquarium > Produits nettoyants pour aquarium
gid://shopify/TaxonomyCategory/ap-2-4-4          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Décorations d’aquariums
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Décorations d’aquariums > Fonds d'aquarium
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Décorations d’aquariums > Grottes et abris d'aquarium
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Décorations d’aquariums > Roches d'aquarium
