# Shopify Product Taxonomy - Mappings: 0.18.0
# Format:
# product_category_id: {input_product_category_id}, full_name: {full_name} => product_category_id: {output_product_category_id}, full_name: {full_name}

product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-4-6, full_name: TBD => product_category_id: ["5019"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-4-7, full_name: TBD => product_category_id: ["5019"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-4-8, full_name: TBD => product_category_id: ["5019"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-4-9, full_name: TBD => product_category_id: ["5019"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-5, full_name: TBD => product_category_id: ["5020"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-5-1, full_name: TBD => product_category_id: ["5020"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-5-2, full_name: TBD => product_category_id: ["5020"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-5-3, full_name: TBD => product_category_id: ["5020"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-5-4, full_name: TBD => product_category_id: ["5020"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-5-5, full_name: TBD => product_category_id: ["5020"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-6, full_name: TBD => product_category_id: ["505306"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-6-1, full_name: TBD => product_category_id: ["505306"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-6-2, full_name: TBD => product_category_id: ["505306"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-6-3, full_name: TBD => product_category_id: ["505306"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-6-4, full_name: TBD => product_category_id: ["505306"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-7, full_name: TBD => product_category_id: ["5021"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-7-1, full_name: TBD => product_category_id: ["5021"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-7-2, full_name: TBD => product_category_id: ["5021"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-7-3, full_name: TBD => product_category_id: ["5021"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-7-4, full_name: TBD => product_category_id: ["5021"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-7-5, full_name: TBD => product_category_id: ["5021"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-7-6, full_name: TBD => product_category_id: ["5021"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-7-7, full_name: TBD => product_category_id: ["5021"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-8, full_name: TBD => product_category_id: ["5079"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-9, full_name: TBD => product_category_id: ["6951"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-10, full_name: TBD => product_category_id: ["5023"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-10-1, full_name: TBD => product_category_id: ["5023"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-10-2, full_name: TBD => product_category_id: ["5023"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-10-3, full_name: TBD => product_category_id: ["5023"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-10-4, full_name: TBD => product_category_id: ["5023"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-11, full_name: TBD => product_category_id: ["500062"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-11-1, full_name: TBD => product_category_id: ["500062"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-11-2, full_name: TBD => product_category_id: ["500062"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-12, full_name: TBD => product_category_id: ["5161"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-12-1, full_name: TBD => product_category_id: ["5161"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-12-2, full_name: TBD => product_category_id: ["5161"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-12-3, full_name: TBD => product_category_id: ["5161"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-12-4, full_name: TBD => product_category_id: ["5161"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-12-5, full_name: TBD => product_category_id: ["5161"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-12-6, full_name: TBD => product_category_id: ["5161"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-12-7, full_name: TBD => product_category_id: ["5161"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-12-8, full_name: TBD => product_category_id: ["5161"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-13, full_name: TBD => product_category_id: ["3238"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-14, full_name: TBD => product_category_id: ["6085"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-14-1, full_name: TBD => product_category_id: ["6085"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-14-2, full_name: TBD => product_category_id: ["6085"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-14-3, full_name: TBD => product_category_id: ["6085"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-14-4, full_name: TBD => product_category_id: ["6085"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-15, full_name: TBD => product_category_id: ["6403"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-16, full_name: TBD => product_category_id: ["5024"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-16-1, full_name: TBD => product_category_id: ["5024"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-16-2, full_name: TBD => product_category_id: ["5024"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-16-3, full_name: TBD => product_category_id: ["5024"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-16-4, full_name: TBD => product_category_id: ["5024"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-16-5, full_name: TBD => product_category_id: ["5024"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-16-6, full_name: TBD => product_category_id: ["5024"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-16-7, full_name: TBD => product_category_id: ["5024"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-16-8, full_name: TBD => product_category_id: ["5024"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-16-9, full_name: TBD => product_category_id: ["5024"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-5, full_name: TBD => product_category_id: ["6983"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-5-1, full_name: TBD => product_category_id: ["6983"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-5-2, full_name: TBD => product_category_id: ["6983"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-5-3, full_name: TBD => product_category_id: ["6983"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-5-4, full_name: TBD => product_category_id: ["6983"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-5-5, full_name: TBD => product_category_id: ["6983"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-5-6, full_name: TBD => product_category_id: ["6983"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-5-7, full_name: TBD => product_category_id: ["6983"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-5-8, full_name: TBD => product_category_id: ["6983"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-1, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-2, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-3, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-4, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-5, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-6, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-7, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-8, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-9, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-10, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-11, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-12, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-13, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-14, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-15, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-16, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-6-17, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-7, full_name: TBD => product_category_id: ["6811"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-8, full_name: TBD => product_category_id: ["500084"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-9, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-9-1, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-9-2, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-9-3, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-9-4, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-9-5, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-9-6, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-9-7, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-9-8, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-9-9, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-9-10, full_name: TBD => product_category_id: ["2"], full_name: TBD        
