# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Chovatelství
gid://shopify/TaxonomyCategory/ap-2-4-9          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Nádoby proti přetečení akvária
gid://shopify/TaxonomyCategory/ap-2-4-10         : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Podstavce pro akvária
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Podstavce pro akvária > Stojany s kostrou
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Podstavce pro akvária > Skříňky pod akvária
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Podstavce pro akvária > Stojany pro dvě nádrže
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Podstavce pro akvária > Stojany z kovaného železa
gid://shopify/TaxonomyCategory/ap-2-4-11         : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Regulátory teploty pro akvária
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Regulátory teploty pro akvária > Analogové regulátory teploty
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Regulátory teploty pro akvária > Digitální regulátory teploty
gid://shopify/TaxonomyCategory/ap-2-4-12         : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Přípravky na úpravu akvarijní vody
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Přípravky na úpravu akvarijní vody > Odstraňovače řasy
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Přípravky na úpravu akvarijní vody > Odstraňovače čpavku (amoniaku)
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Přípravky na úpravu akvarijní vody > Ošetření proti plísním a bakteriím
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Přípravky na úpravu akvarijní vody > Odstraňovače dusičnanů
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Přípravky na úpravu akvarijní vody > Úprava PH
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Přípravky na úpravu akvarijní vody > Detoxikátory vody z kohoutku
gid://shopify/TaxonomyCategory/ap-2-4-12-7       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Přípravky na úpravu akvarijní vody > Čističky vody
gid://shopify/TaxonomyCategory/ap-2-4-12-8       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Přípravky na úpravu akvarijní vody > Přípravky na úpravu vody
gid://shopify/TaxonomyCategory/ap-2-4-13         : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvária
gid://shopify/TaxonomyCategory/ap-2-4-14         : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Hnojiva pro vodní rostliny
gid://shopify/TaxonomyCategory/ap-2-4-14-1       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Hnojiva pro vodní rostliny > Granulovaná hnojiva
gid://shopify/TaxonomyCategory/ap-2-4-14-2       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Hnojiva pro vodní rostliny > Tekutá hnojiva
gid://shopify/TaxonomyCategory/ap-2-4-14-3       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Hnojiva pro vodní rostliny > Prášková hnojiva
gid://shopify/TaxonomyCategory/ap-2-4-14-4       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Hnojiva pro vodní rostliny > Tabletová hnojiva
gid://shopify/TaxonomyCategory/ap-2-4-15         : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Krmítka pro ryby
gid://shopify/TaxonomyCategory/ap-2-4-16         : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Krmení pro ryby
gid://shopify/TaxonomyCategory/ap-2-4-16-1       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Krmení pro ryby > Pelety z mořských řas
gid://shopify/TaxonomyCategory/ap-2-4-16-2       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Krmení pro ryby > Krmivo pro Betty (Bojovnice pestrá)
gid://shopify/TaxonomyCategory/ap-2-4-16-3       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Krmení pro ryby > Krmivo pro Cichlidy
gid://shopify/TaxonomyCategory/ap-2-4-16-4       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Krmení pro ryby > Suché krmivo pro ryby
gid://shopify/TaxonomyCategory/ap-2-4-16-5       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Krmení pro ryby > Lyofilizované krmivo
gid://shopify/TaxonomyCategory/ap-2-4-16-6       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Krmení pro ryby > Mražené krmivo
gid://shopify/TaxonomyCategory/ap-2-4-16-7       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Krmení pro ryby > Krmivo pro zlaté rybky
